date,dutch_sales,frozen_juice
5/1/1960,14,39.8
6/1/1960,13,39.8
7/1/1960,15,39.8
8/1/1960,13,39.8
9/1/1960,13,42.2
10/1/1960,15,43.1
11/1/1960,15,43.1
12/1/1960,16,43.1
1/1/1961,14,50.1
2/1/1961,12,50.1
3/1/1961,15,50.1
4/1/1961,15,50.1
5/1/1961,15,44.2
6/1/1961,14,44.2
7/1/1961,16,44.5
8/1/1961,14,44.5
9/1/1961,15,44.5
10/1/1961,15,44.2
11/1/1961,16,44.2
12/1/1961,18,44.2
1/1/1962,15,39.8
2/1/1962,13,39.5
3/1/1962,16,35.2
4/1/1962,16,35.2
5/1/1962,17,35.2
6/1/1962,17,35.4
7/1/1962,17,35.7
8/1/1962,15,35.7
9/1/1962,16,35.5
10/1/1962,17,35.4
11/1/1962,18,35.3
12/1/1962,20,35.1
1/1/1963,17,52.9
2/1/1963,14,51.9
3/1/1963,17,56.7
4/1/1963,18,63.8
5/1/1963,19,63.8
6/1/1963,17,63.8
7/1/1963,19,65.5
8/1/1963,18,65.5
9/1/1963,17,65.5
10/1/1963,20,65.5
11/1/1963,21,65.5
12/1/1963,22,65.5
1/1/1964,19,65.5
2/1/1964,17,65.5
3/1/1964,19,65.5
4/1/1964,19,65.4
5/1/1964,22,59.3
6/1/1964,19,59.3
7/1/1964,22,59.3
8/1/1964,18,59.2
9/1/1964,20,59.2
10/1/1964,23,59.2
11/1/1964,22,59.2
12/1/1964,25,59.2
1/1/1965,21,59.2
2/1/1965,18,47.2
3/1/1965,21,47.2
4/1/1965,23,45.4
5/1/1965,23,39.9
6/1/1965,21,39.9
7/1/1965,25,39.9
8/1/1965,20,39.9
9/1/1965,23,39.9
10/1/1965,25,39.9
11/1/1965,25,39.9
12/1/1965,30,39.9
1/1/1966,23,36
2/1/1966,19,38.6
3/1/1966,23,37.9
4/1/1966,25,37.7
5/1/1966,25,40.1
6/1/1966,24,40.1
7/1/1966,25,40.1
8/1/1966,22,40.1
9/1/1966,24,40.1
10/1/1966,25,40.1
11/1/1966,27,40.1
12/1/1966,29,40.1
1/1/1967,24,40.1
2/1/1967,20,30.1
3/1/1967,25,30.1
4/1/1967,25,30.6
5/1/1967,26,29.5
6/1/1967,26,29.5
7/1/1967,25,30.2
8/1/1967,24,30.2
9/1/1967,26,30.2
10/1/1967,26,30.7
11/1/1967,29,35
12/1/1967,31,34.9
1/1/1968,26,36.8
2/1/1968,23,36.7
3/1/1968,27,39.1
4/1/1968,27,39.2
5/1/1968,29,39.2
6/1/1968,26,39.2
7/1/1968,27,39.2
8/1/1968,26,41.3
9/1/1968,26,41.3
10/1/1968,29,41.3
11/1/1968,32,41.3
12/1/1968,34,41.3
1/1/1969,27,42.2
2/1/1969,25,46.2
3/1/1969,30,47.4
4/1/1969,30,47.4
5/1/1969,33,43.7
6/1/1969,29,42.2
7/1/1969,30,42.2
8/1/1969,29,42.2
9/1/1969,30,42.2
10/1/1969,34,42.2
11/1/1969,34,42.2
12/1/1969,37,42.2
1/1/1970,33,42.2
2/1/1970,27,42.2
3/1/1970,32,37.5
4/1/1970,33,37.5
5/1/1970,36,37.5
6/1/1970,33,37.5
7/1/1970,35,37.1
8/1/1970,31,37.3
9/1/1970,33,37.5
10/1/1970,40,35.2
11/1/1970,38,35.1
12/1/1970,44,35.2
1/1/1971,34,35.3
2/1/1971,30,36.6
3/1/1971,36,37.9
4/1/1971,38,38.5
5/1/1971,39,41.8
6/1/1971,37,43.1
7/1/1971,38,44.6
8/1/1971,34,45.2
9/1/1971,38,45.2
10/1/1971,42,45.2
11/1/1971,42,45.2
12/1/1971,46,45.2
1/1/1972,37,45.1
2/1/1972,35,45.1
3/1/1972,43,45.1
4/1/1972,40,45.1
5/1/1972,42,45.1
6/1/1972,43,45.1
7/1/1972,40,45.1
8/1/1972,39,45.1
9/1/1972,43,45.1
10/1/1972,45,45.1
