"dateid01","g","inf","u"
1/1/1948,2.267,2.119,3.7
4/1/1948,2.517,1.592,3.7
7/1/1948,2.418,1.684,3.8
10/1/1948,0.429,-0.918,3.8
1/1/1949,-1.888,-0.951,4.7
4/1/1949,-1.344,-0.109,5.9
7/1/1949,0.589,-0.836,6.7
10/1/1949,-0.842,-0.24,7
1/1/1950,3.764,-0.309,6.4
4/1/1950,3.378,0.763,5.6
7/1/1950,6.123,1.834,4.6
10/1/1950,3.825,2.025,4.2
1/1/1951,5.027,4.066,3.5
4/1/1951,2.408,0.973,3.1
7/1/1951,2.119,-0.054,3.2
10/1/1951,1.364,1.481,3.4
1/1/1952,1.01,0.38,3.1
4/1/1952,0.333,0.265,3
7/1/1952,1.854,0.68,3.2
10/1/1952,3.559,0.112,2.8
1/1/1953,1.915,-0.288,2.7
4/1/1953,0.978,0.376,2.6
7/1/1953,-0.153,0.46,2.7
10/1/1953,-1.328,0.175,3.7
1/1/1954,-0.155,0.234,5.3
4/1/1954,0.207,-0.16,5.8
7/1/1954,1.267,-0.26,6
10/1/1954,2.222,-0.309,5.3
1/1/1955,3.372,0.135,4.7
4/1/1955,2.03,-0.134,4.4
7/1/1955,2.061,0.075,4.1
10/1/1955,1.601,0.299,4.2
1/1/1956,0.617,0.011,4
4/1/1956,1.43,0.659,4.2
7/1/1956,1.164,1.036,4.1
10/1/1956,2.058,0.853,4.1
1/1/1957,2.016,0.824,3.9
4/1/1957,0.467,0.85,4.1
7/1/1957,1.586,0.892,4.2
10/1/1957,-0.958,0.485,4.9
1/1/1958,-1.535,1.187,6.3
4/1/1958,0.939,0.672,7.4
7/1/1958,2.94,-0.059,7.3
10/1/1958,2.815,0.104,6.4
1/1/1959,2.138,0.173,5.8
4/1/1959,2.563,0.172,5.1
7/1/1959,0.191,0.516,5.3
10/1/1959,0.781,0.606,5.6
1/1/1960,2.645,0.092,5.1
4/1/1960,-0.11,0.599,5.2
7/1/1960,0.608,0.057,5.5
10/1/1960,-0.897,0.642,6.3
1/1/1961,0.887,0.201,6.8
4/1/1961,2.107,-0.034,7
7/1/1961,1.938,0.392,6.8
10/1/1961,2.358,0.144,6.2
1/1/1962,2.338,0.39,5.6
4/1/1962,1.243,0.375,5.5
7/1/1962,1.162,0.288,5.6
10/1/1962,0.574,0.241,5.5
1/1/1963,1.566,0.319,5.8
4/1/1963,1.461,0.184,5.7
7/1/1963,2.089,0.612,5.5
10/1/1963,1.519,0.27,5.6
1/1/1964,2.489,0.412,5.5
4/1/1964,1.445,0.162,5.2
7/1/1964,1.763,0.226,5
10/1/1964,0.808,0.461,5
1/1/1965,2.978,0.311,4.9
4/1/1965,1.835,0.639,4.7
7/1/1965,2.43,0.295,4.4
10/1/1965,3.053,0.529,4.1
1/1/1966,3.13,0.935,3.9
4/1/1966,1.242,0.905,3.8
7/1/1966,1.685,0.866,3.8
10/1/1966,1.718,0.816,3.7
1/1/1967,1.33,0.255,3.8
4/1/1967,0.603,0.607,3.8
7/1/1967,1.821,1.004,3.8
10/1/1967,1.916,1.096,3.9
1/1/1968,3.159,0.983,3.7
4/1/1968,2.766,0.974,3.6
7/1/1968,1.709,1.352,3.5
10/1/1968,1.869,1.237,3.4
1/1/1969,2.608,1.225,3.4
4/1/1969,1.607,1.578,3.4
7/1/1969,2.037,1.372,3.6
10/1/1969,0.843,1.535,3.6
1/1/1970,1.23,1.6,4.2
4/1/1970,1.576,1.399,4.8
7/1/1970,1.719,1.035,5.2
10/1/1970,0.276,1.453,5.8
1/1/1971,4.242,0.841,5.9
4/1/1971,1.898,0.919,5.9
7/1/1971,1.803,0.993,6
10/1/1971,1.127,0.737,5.9
1/1/1972,3.368,0.812,5.8
4/1/1972,2.942,0.646,5.7
7/1/1972,1.866,0.8,5.6
10/1/1972,2.953,1.035,5.4
1/1/1973,3.656,1.572,4.9
4/1/1973,2.673,2.091,4.9
7/1/1973,1.354,1.973,4.8
10/1/1973,2.944,2.529,4.8
1/1/1974,1.055,2.976,5.1
4/1/1974,2.643,2.679,5.2
7/1/1974,1.903,2.813,5.6
10/1/1974,2.533,3.072,6.6
1/1/1975,1.036,2.137,8.3
4/1/1975,2.272,1.204,8.9
7/1/1975,3.465,2.006,8.5
10/1/1975,3.04,1.843,8.3
1/1/1976,3.318,1.145,7.7
4/1/1976,1.776,0.894,7.6
7/1/1976,1.809,1.596,7.7
10/1/1976,2.534,1.454,7.8
1/1/1977,2.791,1.835,7.5
4/1/1977,3.398,1.745,7.1
7/1/1977,3.019,1.385,6.9
10/1/1977,2.181,1.474,6.7
1/1/1978,1.844,1.72,6.3
4/1/1978,5.791,2.275,6
7/1/1978,2.666,2.327,6
10/1/1978,3.472,2.324,5.9
1/1/1979,1.99,2.519,5.9
4/1/1979,2.54,3.179,5.7
7/1/1979,2.87,3.221,5.9
10/1/1979,2.258,3.166,6
1/1/1980,2.41,3.946,6.3
4/1/1980,0.122,3.375,7.3
7/1/1980,2.147,1.876,7.7
10/1/1980,4.668,2.804,7.4
1/1/1981,4.62,2.765,7.4
4/1/1981,1.134,2.086,7.4
7/1/1981,2.965,2.785,7.4
10/1/1981,0.684,1.626,8.2
1/1/1982,-0.295,0.888,8.8
4/1/1982,1.756,1.445,9.4
7/1/1982,1.075,1.736,9.9
10/1/1982,1.209,0.307,10.7
1/1/1983,2.127,0.068,10.4
4/1/1983,2.974,1.156,10.1
7/1/1983,3.028,0.975,9.4
10/1/1983,2.811,0.999,8.5
1/1/1984,3.074,1.417,7.9
4/1/1984,2.612,0.943,7.4
7/1/1984,1.803,0.87,7.4
10/1/1984,1.473,0.862,7.3
1/1/1985,2.155,0.918,7.2
4/1/1985,1.541,0.909,7.3
7/1/1985,2.145,0.622,7.2
10/1/1985,1.331,1.019,7
1/1/1986,1.419,0.52,7
4/1/1986,0.861,-0.487,7.2
7/1/1986,1.414,0.612,7
10/1/1986,1.078,0.699,6.8
1/1/1987,1.431,1.207,6.6
4/1/1987,1.801,1.133,6.3
7/1/1987,1.638,1.061,6
10/1/1987,2.494,0.933,5.8
1/1/1988,1.352,0.78,5.7
4/1/1988,2.3,1.148,5.5
7/1/1988,1.763,1.219,5.5
10/1/1988,2.136,1.092,5.3
1/1/1989,2.119,1.136,5.2
4/1/1989,1.827,1.616,5.2
7/1/1989,1.478,0.782,5.2
10/1/1989,0.907,1.017,5.4
1/1/1990,2.211,1.721,5.3
4/1/1990,1.424,0.99,5.3
7/1/1990,0.917,1.727,5.7
10/1/1990,-0.103,1.698,6.1
1/1/1991,0.525,0.748,6.6
4/1/1991,1.465,0.594,6.8
7/1/1991,1.218,0.762,6.9
10/1/1991,0.979,0.829,7.1
1/1/1992,1.616,0.678,7.4
4/1/1992,1.747,0.769,7.6
7/1/1992,1.451,0.764,7.6
10/1/1992,1.687,0.876,7.4
1/1/1993,0.755,0.728,7.1
4/1/1993,1.206,0.722,7.1
7/1/1993,1.092,0.463,6.8
10/1/1993,1.863,0.829,6.6
1/1/1994,1.472,0.502,6.6
4/1/1994,1.871,0.568,6.2
7/1/1994,1.135,0.927,6
10/1/1994,1.692,0.582,5.6
1/1/1995,0.918,0.734,5.5
4/1/1995,0.79,0.817,5.7
7/1/1995,1.336,0.504,5.7
10/1/1995,1.207,0.545,5.6
1/1/1996,1.2,0.889,5.5
4/1/1996,2.134,0.86,5.5
7/1/1996,1.209,0.575,5.3
10/1/1996,1.57,0.869,5.3
1/1/1997,1.388,0.609,5.2
4/1/1997,1.783,0.23,5
7/1/1997,1.636,0.5,4.9
10/1/1997,1.11,0.539,4.7
1/1/1998,1.154,0.206,4.6
4/1/1998,1.181,0.329,4.4
7/1/1998,1.688,0.513,4.5
10/1/1998,1.959,0.469,4.4
1/1/1999,1.302,0.366,4.3
4/1/1999,1.163,0.749,4.3
7/1/1999,1.625,0.743,4.2
10/1/1999,2.201,0.737,4.1
1/1/2000,1.057,0.99,4
4/1/2000,2.465,0.784,3.9
7/1/2000,0.77,0.914,4
10/1/2000,1.109,0.713,3.9
1/1/2001,0.342,0.957,4.2
4/1/2001,1.24,0.701,4.4
7/1/2001,0.01,0.282,4.8
10/1/2001,0.581,-0.075,5.5
1/1/2002,1.244,0.319,5.7
4/1/2002,0.927,0.786,5.8
7/1/2002,0.936,0.538,5.7
10/1/2002,0.604,0.591,5.9
1/1/2003,1.137,1.029,5.9
4/1/2003,1.252,-0.164,6.1
7/1/2003,2.237,0.746,6.1
10/1/2003,1.649,0.38,5.8
1/1/2004,1.452,0.846,5.7
4/1/2004,1.61,0.786,5.6
7/1/2004,1.529,0.638,5.4
10/1/2004,1.573,1.074,5.4
1/1/2005,2.002,0.505,5.3
4/1/2005,1.252,0.676,5.1
7/1/2005,1.783,1.514,5
10/1/2005,1.334,0.932,5
1/1/2006,1.998,0.521,4.7
4/1/2006,1.106,0.902,4.6
7/1/2006,0.788,0.944,4.6
10/1/2006,1.135,-0.41,4.4
1/1/2007,1.186,0.981,4.5
4/1/2007,1.329,1.133,4.5
7/1/2007,1.022,0.633,4.7
10/1/2007,0.793,1.227,4.8
1/1/2008,-0.115,1.083,5
4/1/2008,0.986,1.301,5.3
7/1/2008,0.203,1.542,6
10/1/2008,-1.975,-2.29,6.9
1/1/2009,-1.141,-0.688,8.3
4/1/2009,-0.302,0.532,9.3
7/1/2009,0.305,0.86,9.6
10/1/2009,1.268,0.783,9.9
1/1/2010,0.787,0.159,9.8
4/1/2010,1.413,-0.035,9.6
7/1/2010,1.136,0.293,9.5
10/1/2010,1.146,0.81,9.5
1/1/2011,0.054,1.067,9
4/1/2011,1.46,1.137,9.1
7/1/2011,0.816,0.652,9
10/1/2011,1.272,0.449,8.6
1/1/2012,1.195,0.586,8.3
4/1/2012,0.927,0.202,8.2
7/1/2012,0.657,0.407,8
10/1/2012,0.428,0.711,7.8
1/1/2013,0.88,0.397,7.7
4/1/2013,0.524,-0.122,7.5
7/1/2013,1.214,0.507,7.3
10/1/2013,1.376,0.46,6.9
1/1/2014,0.157,0.583,6.7
4/1/2014,1.682,0.475,6.2
7/1/2014,1.46,0.228,6.1
10/1/2014,0.535,-0.078,5.7
1/1/2015,0.19,-0.724,5.6
4/1/2015,1.498,0.604,5.4
7/1/2015,0.818,0.342,5.2
10/1/2015,0.579,0.191,5
1/1/2016,0.31,-0.078,4.9
